song,artist,rel_date,lyrics
Home,Stephanie Mills,NA,"When I think of home I think of a resting place A place where there's peace, quiet, and serenity And that's where some of my friends have gone Friends who have traveled with me through my wonderful experience in Oz A journey I'll never forget When I think of home, I think of a place Where's there's love overflowing I wish I was home, I wish I was back there With the things I've been knowing Wind that makes the tall grass bend into leaning Suddenly the raindrops that fall they have a meaning Sprinkling the scene Makes it all clean (When I think of home) Maybe there's a chance for me to go back Now that I have some direction (Maybe there's a chance I'll get home) It sure would be nice to be back at home Where there's love and affection And just maybe I can convince time to slow up Giving me enough time, ooh, in my life to grow up Time be my friend And let me start again Suddenly my world's gone and changed its fate But I still know where I'm going I have had my mind spun around in space And watched it growing And oh, if you're listening, God, please don't make it hard To know if we should believe the things that we see Tell us should we try and stay or should we run away (Should we run away) Or will it be better just to let things, let them be, oh Living here in this brand new world Might be a fantasy But it's taught me to love, oh yeah And it's real, it's so real, it's real to me And I've learned that we must look Inside our hearts to find A world full of love Like yours, like mine Like home Like, like home (When I think of home) My friends smiling down on me Giving me their energy, oh (When I think of home) I think of a peaceful world and joy All around me, yeah (When I think of home) And love that we share can never Never, ever be taken away from me, yeah, yeah, yeah (When I think of home) I just sit down and think And gets on down in my bone, bone, yeah (When I think of home) I can hear my friends telling me Stephanie, please sing my song I want to sing, I want to shout I want to tell you what it's all about, yeah (When I think of home)"
Here and Now,Luther Vandross,NA,"One look in your eyes And there I see Just what you mean to me Here in my heart I believe Your love is all I ever need Holding you close through the night I need you, yeah I look in your eyes And there I see What happiness really means The love that we share Makes life so sweet Together, we'll always be This pledge of love feels so right And ooh, I need you Here and now I promise to love faithfully You're all I need Here and now I vow to be one with thee Your love is all I need When I look in your eyes, there I see What all that a love should really be And I need you more, and more each day Nothing can take your love away More than a just a dream I need you Here and now I promise to love faithfully You're all I need Here and now I vow to be one with thee Your love is all I need Starting here, ooh I'm starting now, I believe Starting here, I'm starting right here Starting now, right now I believe in your love So I'm glad to take the vow Here and now I promise to love faithfully You're all I need Here and now I vow to be one with thee Your love is all I need"
Ain't Nuthin' in the World,Miki Howard,NA,NA
All of My Love,The Gap Band,NA,"Girl, you got that thing And I know that it's right I wanna get next to you Ooh, baby girl, you sure look nice Let me be the one for you You can ask any question if you wanted to Ask, then I'll give you my heart 'Cause you're the kinda girl I've been hoping for I wanna give you my heart I just wanna be I just wanna be the one you call on I just wanna be I just wanna be the one you fall for Baby, can't you see? Baby, can't you see I'm out of love? I just wanna spend a lil' bit of time All of my love All of my life All to you Baby, you got that thing and I know that it's right All of my love All of my life All to you Ooh, baby, b-b-baby I just wanna love you Squeeze you tight and hold you Right here in my arms Girl, I can't deny it You really satisfy me With all of your charms You can ask any question if you wanted to Ask, then I'll give you my heart 'Cause you're the kinda girl I've been hoping for I wanna give you my all I just wanna be I just wanna be the one you call on I just wanna be the one you fall for Baby, can't you see? Yeah Baby, can't you see I'm out of love? I just want to spend a lil' bit of time All of my love All of my life All to you Baby, you got that thing, and I know that's right All of my love All of my life All to you Ooh, baby, b-b-baby Shabadaba dwee-dwee, dwee Is it real? Is it real? Is it real? I just wanna be the one you call on I just wanna be the one you fall for Baby, can't you see? Yeah Baby, can't you see I'm out of love? I just wanna spend a lil' bit of time All of my love All of my life All to you Ooh, baby, b-b-baby All of my love All of my life All to you Girl, you got that thing, and I know that's right All of my love All of my life All to you Ooh, baby, b-b-baby All of my love All of my life All to you Girl, you got that thing, and I know that's right All of my love All of my life All to you Ooh, baby, shabadaba dwee dwee dwee All of my love All of my life All to you Baby, you got that thing, and I know that's right All of my love All of my life All to you Baby, ooh, baby, baby All of my love All of my life All to you Girl, you got that thing, and I know that's right"
Tender Lover,Babyface,NA,"Feels good Everybody Tender lover Tender love Eleanor Rigby spends half her life All alone No fault of her own Made a decision Love has no place in her home Love It has a right to go Love has no limit If you believe in love It'll open up so Don't even give in 'Cause if it starts to give Just hold on We didn't didn't make it But love'll get you by If you only try Just don't give up on love 'Cause it didn't work out this time Tender lover Girl, I'm so sorry Well I never meant to hurt you I never meant to break your heart Tender love So broken hearted Well I never meant to break your Break your little tender heart Don't ever give up in spite of our love Love is much too precious It's greater than both of us There's more than enough Keep looking for love Just be a believer It'll give you what you want Sky is the limit If you believe in love It'll open up so Don't ever give in 'Cause if it starts to give Just hold on We didn't Didn't make it But love'll get you by If you only try Just don't give up on love 'Cause it didn't work out this time My tender lover Tender lover Tender love"
The Way You Make Me Feel,Michael Jackson,NA,"Hee-hee Ooh G'on, girl! Aaow! Hee Hey, pretty baby with the high heels on You give me fever like I've never, ever known You're just a product of loveliness I like the groove of your walk, your talk, your dress I feel your fever from miles around I'll pick you up in my car and we'll paint the town Just kiss me baby and tell me twice That you're the one for me The way you make me feel The way you make me feel You really turn me on You really turn me on You knock me off of my feet You knock me off of my feet My lonely days are gone My lonely days are gone Uh, uh I like this feelin' you're givin' me Just hold me, baby, and I'm in ecstasy Oh, I'll be workin' from nine to five To buy you things to keep you by my side I've never felt so in love before Just promise, baby, you'll love me forever more I swear I'm keepin' you satisfied 'Cause you're the one for me The way you make me feel The way you make me feel You really turn me on You really turn me on You knock me off of my feet now, baby You knock me off of my feet My lonely days are gone My lonely days are gone Acha-ooh! G'on, girl! G'on! Hee-hee Aaow! G'on, girl! Wooh Wooh I've never felt so in love before Just promise, baby, you'll love me forever more I swear I'm keepin' you satisfied 'Cause you're the one for me The way you make me feel The way you make me feel You really turn me on You really turn me on You knock me off of my feet now, baby (Hee!) You knock me off of my feet My lonely days are gone (Ah, ah) (My lonely days are gone) The way you make me fee-hee! The way you make me feel You really turn me on You really turn me on You knock me off of my feet now, baby (Hee!) You knock me off of my feet My lonely days are gone My lonely days are gone Ain't nobody's business Ain't nobody's business The way you make me feel Ain't nobody's business Ain't nobody's business But mine and my baby You really turn me on Hee-hee! You knock me off of my feet Hee-hee! Ooh! My lonely days are gone Give it to me Give me some time The way you make me feel Come on, be my girl I wanna be with mine You really turn me on Ain't nobody's business You knock me off of my feet Ain't nobody's business But mine and my baby G'on, girl! Aaow! My lonely days are gone Hee-hee! Hoo! Choo-coo, choo-coo Choo-coo, choo-coo, choo-coo G'on, girl! The way you make me feel (Hee-hee!) (Hee-hee-hee!) You really turn me on You knock me off of my feet My lonely days are gone Give it to me Give me some time The way you make me feel Come on, be my girl I wanna be with mine You really turn me on Ain't nobody's business You knock me off of my feet Ain't nobody's business But mine and my baby G'on, girl! My lonely days are gone Give it to me Give me some time The way you make me feel Come on, be my girl I wanna be with mine You really turn me on Ain't nobody's business You knock me off of my feet"
Love Overboard,Gladys Knight & the Pips,NA,"They tell me, Gladys, you know you love too hard But I tell 'em, not nearly hard enough They say, girlfriend, you know you go too far Around the world ain't far enough 'Cause I only wanna show you what you mean to me Every time I'm reachin' out to you I start to sink I may be drowning with desire from your sweet, sweet touch I don't care what people say 'cause I love you so much Love overboard (Love overboard) My love's in need of help Love overboard (Love overboard) I sure can't help myself Love overboard (Love overboard) I don't know what to do Love overboard (Love overboard) I'm so in love with you, baby Baby, they say I work too hard Not really, when it comes to lovin' you You've got my overtime You bring me peace of mind And there's so much more I'd like to do I only wanna find the love my heart's been searchin' for I'd climb most every mountain swim from shore to shore Just to feel the soft caressin' from your warm embrace In this ocean of love, no one can take your place Love overboard (Love overboard) Oh, my love's in need of help Love overboard (Love overboard) Sure can't help myself Love overboard (Love overboard) I don't know what to do Love overboard (Love overboard) So in love with you Love overboard (Love overboard) I'm running out of time Love overboard (Love overboard) I'm 'bout to lose my mind Love overboard (Love overboard) I don't know what to do Love overboard (Love overboard) I'm so in love with you All my friends keep telling me to let you go (let you go), babe Between the two of us how could they ever know About the love you been givin'? Seems some people like to live their life so very close I like to let go sometime So I can flow with the time I've done made up my mind You're the only one for me Oh, my love's overboard (Ooh ooh ooh) (Ooh ooh ooh) (Gladys, Gladys, Gladys) (Ooh) I'm so in love with you Spinnin' Fallin' Deeper Aah, deeper Love's callin' (Love overboard) I'm fallin' S-O-S-O-S-O-S-O-S Love's overboard (Love overboard) My love's in need of help Love overboard (Love overboard) Sure can't help myself Love overboard (Love overboard) I don't know what to do Love overboard (Love overboard)"
I Want Her,Keith Sweat,NA,"Seen you last night, saw you standing there And couldn't picture the color of your hair And all I wanted to know, were you really there? I wanna know, was it my imagination? Ooh, you know it was a sweet sensation Looking at you from a distance Ooh, it seems so real You and I together Dream that seemed for real If it's a dream, please don't wake me up It feels so real, all I know is I want her (I want that baby) I want her (Get it, get it, get it, get it) I want her (I wanna do it like this, do it like that) I want her (Once I get it, ain't no turning back) You turn me on and on This feeling, girl, is so strong My heart, girl, is on fire Ooh, you're my desire I've got a thing for you Dreams of you and me, baby She's bad, she's bad, she's bad All I know is I want her (I want, I want, I want, I want, I want her) I want her (Don't misunderstand me) I want her (I wish this dream was for real) I want her (You, you know the deal) I want her (Yeah, yeah) I want her (I want that girl so bad) I want her (I had a dream of her last night) I want her (Yeah, yeah, yeah) And I, I Give it to me, give it to me Give it to me, ooh, baby All night long, girl I want her (Ooh, baby) I want her (I want that girl so bad) I want her (All night long) I want her (Let me tell you something, I wanna do it like this, baby) I want her (I wanna do it like that, sugar) I want her (You know what I need, girl You know what I like, girl) I want her (Like this, baby) I want her (I wanna do it like that, sugar) I want her (You turn me on and on and on and on, baby) I want her (I wanna do it like this, baby I wanna do it like that, sugar) I want her (You know what I mean, girl You know what I like, girl) I want her (I wanna do it like this, baby I wanna do it like that, sugar) I want her (Ooh, I want you so bad, girl) I want her (I need you right now, baby) I want her (Give it to me, give it to me all night long, girl I just want you so bad, girl) I want her (I just need you so bad, girl Come on, girl, come on, girl) I want her I want her I want her (Baby) I want her (Don't let this be a dream, girl) I want her (I want you so bad, ooh baby) I want her (Give it to me tonight, girl) I want her (Love me, love me, love me, love me, love me down) I want her I want her I want her (This feeling, girl, is so so so so so so I want you so bad, baby Was it a dream last night, girl?)"
Girlfriend,Pebbles,NA,"To believe or not to believe That is the question It just takes a street degree You've lied your last lie and I've cried my last cry I'm out the door, babe There's other fish in the sea Girl, make a list Go out and find yourself a new bad thing Girl, you need a trip 'Cause he's not worth the misery and pain Just remember how he would tell you lies And then pretend that everything is so sweet Why should you sacrifice if you're not satisfied? He's just a canine runnin' 'round in heat Girlfriend, how could you let him treat you so bad? Oh Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Woah, girlfriend, how could you let him treat you so bad? (Treat ya, treat ya, treat ya) Oh Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Girl, you must resist Don't let him squirm his way into your heart No, girl, I must insist You've got to stop the fool before he starts Just remember how he was so untrue With all the tacky things he did to you No need to signify, 'cause he's not worth your time You need to find someone that's true to you Girlfriend, how could you let him treat you so bad? Oh Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Girlfriend, how could you let him treat you so bad? (Treat ya, treat ya) Baby, don't be sad (Oh), no Girlfriend, you know you were the best he ever had Oh, oh, oh-woah To believe or not to believe That is the question It just takes a street degree You've lied your last lie and I've cried my last cry I'm out the door, babe There's other fish in the sea (Yeah, yeah, yeah) Cute, cute, cute, cute Hey, Deele, sing! To believe or not to believe That is the question It just takes a street degree You've lied your last lie and I've cried my last cry I'm out the door, babe There's other fish in the sea Girlfriend, how could you let him treat you so bad? Girlfriend, you know you were the best he ever had Girlfriend, how could you let him treat you so bad? Oh Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Girlfriend, how could you let him treat you so bad? Oh Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Girlfriend, how could you let him treat you so bad? Oh Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Girlfriend, how could you let him treat you so bad? (Treat ya, treat ya) Baby, don't be sad (Oh), no Girlfriend, you know you were the best he ever had Oh, oh, oh-woah Don't let him put you down Girl, he's been messing around You've been used, abused So, baby, make your move You've learned your lesson now So, turn this hurt around Don't be no fool, 'cause you've got to bust loose Girlfriend, yeah How could you let him treat you so bad? Oh Oh, girlfriend You know you were the best he ever had (You know you were the best he ever had, girl) Oh, oh, oh-woah Don't let him put you down Girl, he's been messing around You've been used, abused So, baby, make your move You've learned your lesson now So, turn this hurt around Don't be no fool, 'cause you've got to bust loose Girlfriend, yeah How could you let him treat you so bad? Oh Girlfriend"
You Will Know,Stevie Wonder,NA,"Lonely one of young so brokenhearted Traveling down the rigid road of life Using pharmaceutical extractions To find the paradise Finds the high but comes down feeling lower Gets down on their knees and starts to pray Looking up to heaven for the answer They hear a voice that says You will know Troubled heart you'll know Problems have solutions Trust and I will show Oh, you will know Troubled heart you'll know Every life has reason For I made it so Single parent trying to raise their children But they would much rather not alone Reaches out to find that special someone To make their house a home Finds someone but no one is the right one Gets down on their knees and starts to pray Looking up to heaven for the answer They hear a voice that says You will know Troubled heart you'll know Problems have solutions Trust and I will show Hey, you will know Lonely heart you'll know Every life has reason For I made it so You'll know Troubled heart you'll know Problems have solutions Trust and I will show You will know Troubled heart you'll know Every life has reason For I made it so And oh, you will know Lonely heart you'll know Problems have solutions Trust and I will show, yeah You will know (You will know) Lonely heart you'll know (You will know, you will know, you will know) Every life has reason For I made it so You'll know Lonely heart you'll know"
Fishnet,Morris Day,NA,"Trapped at first glance I did a double take A victim without a chance Pulled in by the bait When I caught the fishnet Black pantyhose Big legs show through the holes Fishnet Black pantyhose She’s out to catch you With those fishnet pantyhose Closer I can’t see These drawers I could not pass She turned toward me Things were moving kinda fast, kinda fast When I saw those fishnet Black pantyhose Big legs show through the holes Fishnet Black pantyhose She’s out to catch you With those fishnet pantyhose Fishnet Black pantyhose Show everything from Her waist down to her toes Fishnet Black pantyhose Now I’m the catch Anything goes You know I always wondered What it’d feel like to be hunted Kinda makes you feel like a fish in the sea But the way you’re looking In those fishnets, mama You could trap me Fishnet Black pantyhose Fishnet Black pantyhose Fishnet Big legs Fishnet Black pantyhose Ah, this is gonna be serious But I must remember My own famous words Look at this big-legged woman Wondering what to do You can do most anything Just don’t lose your cool Fishnet Black pantyhose Big legs show through the holes Fishnet Black pantyhose Out to catch you With those fishnet pantyhose Fishnet Black pantyhose Big legs show through the holes Fishnet Black pantyhose Now I’m the catch Anything goes Women, let your big legs show Let me lose control Every time I see you in your Fishnet Black pantyhose Big legs show through the holes Fishnet Black pantyhose She’s out to catch you With those Fishnet pantyhose Fishnet Black pantyhose Big legs show through the holes Fishnet Black pantyhose Now I’m the catch Anything goes (Fishnet)"
Man in the Mirror,Michael Jackson,NA,NA
Wishing Well,Terence Trent D'Arby,NA,"Kissing like a bandit, stealing time Underneath a sycamore tree Cupid by the hour sends valentines To my sweet lover and me Slowly but surely Your appetite is more than I knew Sweetly, softly I'm falling in love with you Wish me love, a wishing well to kiss and tell A wishing well of butterfly tears Wish me love, a wishing well to kiss and tell A wishing well of crocodile cheers, sing Make it funky now, boys Hugging like a monkey see, monkey do Right beside a riverboat gambler, hahaha Erotic images float through my head Say you wanna be a midnight rambler (I wanna be a midnight rambler) Quickly, but quickly The blood races through my veins Quickly, loudly I wanna hear those sugar bells ring Wish me love, a wishing well to kiss and tell A wishing well of butterfly tears Wish me love, a wishing well to kiss and tell A wishing well of crocodile cheers, get up On the beat now, uh Come on Wish me love, a wishing well to kiss and tell A wishing well of butterfly tears, come on Wish me love, a wishing well to kiss and tell A wishing well of crocodile cheers, uh (Wish me love, a wishing well to kiss and tell) Yeah, I feel like goin' on, I feel like goin' on (Wish me love, a wishing well to kiss and tell) Come on, come on Erotic images float through here Your midnight rambler, baby, uh (Wish me love, a wishing well to kiss and tell) Yeah, hoo, dig it, follow you anywhere I don't know, I don't care (Wish me love, a wishing well to kiss and tell) But all I know is that I gotta be a midnight rambler, baby, uh"
