song,artist,hip_hop_rnb,genre
Any Man of Mine,Shania Twain,0,Country / Rock
Any Ol' Barstool,Jason Aldean,0,Country / Rock
"Any Time, Any Place",Janet Jackson,1,Hip Hop / RnB
Anymore,Travis Tritt,0,Country / Rock
Anything but Mine,Kenny Chesney,0,Country / Rock
Anything Like Me,Brad Paisley,0,Country / Rock
Anywhere with You,Jake Owen,0,Country / Rock
Apocalyptic,Halestorm,0,Country / Rock
Are You Ever Gonna Love Me,Holly Dunn,0,Country / Rock
Are You Gonna Kiss Me or Not,Thompson Square,0,Country / Rock
Are You Lonely for Me,The Rude Boys,1,Hip Hop / RnB
Are You Ready,Disturbed,0,Country / Rock
Around the Way Girl,LL Cool J,1,Hip Hop / RnB
As Good as I Once Was,Toby Keith,0,Country / Rock
As She's Walking Away,Zac Brown Band ,0,Country / Rock
Ask Me How I Know,Garth Brooks,0,Country / Rock
Aston Martin Music,Rick Ross,1,Hip Hop / RnB
"Atlas, Rise!",Metallica,0,Country / Rock
Austin,Blake Shelton,0,Country / Rock
Awake,Godsmack,0,Country / Rock
Away from Me,Puddle of Mudd,0,Country / Rock
"Awful, Beautiful Life",Darryl Worley,0,Country / Rock
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,1,Hip Hop / RnB
Baby,Brandy,1,Hip Hop / RnB
Baby's Gotten Good at Goodbye,George Strait,0,Country / Rock
Baby-Baby-Baby,TLC,1,Hip Hop / RnB
Baby Boy,Beyoncé ,1,Hip Hop / RnB
Baby Come to Me,Regina Belle,1,Hip Hop / RnB
Baby Hold On To Me,Gerald Levert with Eddie Levert,1,Hip Hop / RnB
Baby I'm Ready,LeVert,1,Hip Hop / RnB
Baby If You're Ready,Doggy's Angels,1,Hip Hop / RnB
Baby If You're Ready,Doggy's Angels ,1,Hip Hop / RnB
Back & Forth,Aaliyah,1,Hip Hop / RnB
Back to Life (However Do You Want Me),Soul II Soul,1,Hip Hop / RnB
Back to Life (However Do You Want Me),Soul II Soul ,1,Hip Hop / RnB
Back When,Tim McGraw,0,Country / Rock
Back When I Knew It All,Montgomery Gentry,0,Country / Rock
Bad,Wale ,1,Hip Hop / RnB
Bad and Boujee,Migos,1,Hip Hop / RnB
Bad Girlfriend,Theory of a Deadman,0,Country / Rock
Bag Lady,Erykah Badu,1,Hip Hop / RnB
Ballin' Boy,No Good,1,Hip Hop / RnB
Bang Bang,Green Day,0,Country / Rock
Banjo,Rascal Flatts,0,Country / Rock
Banned in the U.S.A.,Luke,1,Hip Hop / RnB
Barefoot Blue Jean Night,Jake Owen,0,Country / Rock
Bartender,Lady Antebellum,0,Country / Rock
Batdance,Prince,1,Hip Hop / RnB
Battle Born,Five Finger Death Punch,0,Country / Rock
Bayou Boys,Eddy Raven,0,Country / Rock
Be My Baby Tonight,John Michael Montgomery,0,Country / Rock
Be Without You,Mary J. Blige,1,Hip Hop / RnB
Be Yourself,Audioslave,0,Country / Rock
Beachin',Jake Owen,0,Country / Rock
Beat of the Music,Brett Eldredge,0,Country / Rock
Beautiful Crazy,Luke Combs,0,Country / Rock
Beautiful Mess,Diamond Rio,0,Country / Rock
Bed,J. Holiday,1,Hip Hop / RnB
BedRock,Young Money,1,Hip Hop / RnB
Been Away Too Long,Soundgarden,0,Country / Rock
Beer for My Horses,Toby Keith duet with Willie Nelson,0,Country / Rock
Beer in Mexico,Kenny Chesney,0,Country / Rock
Beer Never Broke My Heart,Luke Combs,0,Country / Rock
Before He Cheats,Carrie Underwood,0,Country / Rock
Before You Walk out of My Life / Like This and Like That,Monica,1,Hip Hop / RnB
Believe Me,Lil Wayne ,1,Hip Hop / RnB
Believe Me Baby (I Lied),Trisha Yearwood,0,Country / Rock
Berzerk,Eminem,1,Hip Hop / RnB
Best I Ever Had,Drake,1,Hip Hop / RnB
Best of Intentions,Travis Tritt,0,Country / Rock
Best of You,Foo Fighters,0,Country / Rock
Best Shot,Jimmie Allen,0,Country / Rock
Better as a Memory,Kenny Chesney,0,Country / Rock
Better Dig Two,The Band Perry,0,Country / Rock
Better Life,Keith Urban,0,Country / Rock
Better Man,Little Big Town,0,Country / Rock
Big Green Tractor,Jason Aldean,0,Country / Rock
Big Wheels in the Moonlight,Dan Seals,0,Country / Rock
Bigger Than the Beatles,Joe Diffie,0,Country / Rock
"Bills, Bills, Bills",Destiny's Child,1,Hip Hop / RnB
Birthday Sex,Jeremih,1,Hip Hop / RnB
Bitch Better Have My Money,Rihanna,1,Hip Hop / RnB
Black and Yellow,Wiz Khalifa,1,Hip Hop / RnB
Black Beatles,Rae Sremmurd,1,Hip Hop / RnB
Black Rose,Volbeat ,0,Country / Rock
Black Widow,Iggy Azalea,1,Hip Hop / RnB
Blame It,Jamie Foxx ,1,Hip Hop / RnB
Blame It on Your Heart,Patty Loveless,0,Country / Rock
Bless the Broken Road,Rascal Flatts,0,Country / Rock
Blessed,Martina McBride,0,Country / Rock
Blown Away,Carrie Underwood,0,Country / Rock
Blue Ain't Your Color,Keith Urban,0,Country / Rock
Blue Clear Sky,George Strait,0,Country / Rock
Blue on Black,Five Finger Death Punch ,0,Country / Rock
Blue Tacoma,Russell Dickerson,0,Country / Rock
Blurred Lines,Robin Thicke ,1,Hip Hop / RnB
Blurry[21],Puddle of Mudd,0,Country / Rock
Bodak Yellow (Money Moves),Cardi B,1,Hip Hop / RnB
Body Like a Back Road,Sam Hunt,0,Country / Rock
Bones,Young Guns,0,Country / Rock
Boom Boom Pow,The Black Eyed Peas,1,Hip Hop / RnB
Boombastic / In the Summertime,Shaggy,1,Hip Hop / RnB
Boot Scootin' Boogie,Brooks & Dunn,0,Country / Rock
Born for Greatness,Papa Roach,0,Country / Rock
Born to Fly,Sara Evans,0,Country / Rock
Bottoms Up,Brantley Gilbert,0,Country / Rock
Boulevard of Broken Dreams,Green Day,0,Country / Rock
Bounce with Me,Lil' Bow Wow,1,Hip Hop / RnB
Bounce with Me,Lil' Bow Wow ,1,Hip Hop / RnB
Bounce with Me,Lil Bow Wow ,1,Hip Hop / RnB
Bow Wow (That's My Name),Lil' Bow Wow,1,Hip Hop / RnB
Boys 'Round Here,Blake Shelton ,0,Country / Rock
Brand New Girlfriend,Steve Holy,0,Country / Rock
Brand New Man,Brooks & Dunn,0,Country / Rock
Break (2010)[100],Three Days Grace,0,Country / Rock
Break Up with Him,Old Dominion,0,Country / Rock
Break[4],Three Days Grace,0,Country / Rock
Breakdown,Tantric,0,Country / Rock
Breaking the Habit,Linkin Park,0,Country / Rock
Breath,Breaking Benjamin,0,Country / Rock
Breathe,Faith Hill,0,Country / Rock
Bring On the Rain,Jo Dee Messina with Tim McGraw,0,Country / Rock
Broccoli,DRAM,1,Hip Hop / RnB
Broken Halos,Chris Stapleton,0,Country / Rock
Brokenheartsville,Joe Nichols,0,Country / Rock
Brother Jukebox,Mark Chesnutt,0,Country / Rock
Bulletproof,Godsmack,0,Country / Rock
Bulletproof[20],Godsmack,0,Country / Rock
Bully[8],Shinedown,0,Country / Rock
Bump n' Grind,R. Kelly,1,Hip Hop / RnB
Burn,Usher,1,Hip Hop / RnB
Burn It Down,Linkin Park,0,Country / Rock
Burnin' It Down,Jason Aldean,0,Country / Rock
Burnin' Old Memories,Kathy Mattea,0,Country / Rock
But for the Grace of God,Keith Urban,0,Country / Rock
Buy Me a Rose,Kenny Rogers with Alison Krauss & Billy Dean,0,Country / Rock
Buy U a Drank (Shawty Snappin'),T-Pain ,1,Hip Hop / RnB
By Crooked Steps,Soundgarden,0,Country / Rock
By the Way,Red Hot Chili Peppers,0,Country / Rock
"Bye, Bye",Jo Dee Messina,0,Country / Rock
Californication,Red Hot Chili Peppers,0,Country / Rock
Call Me,Phil Perry,1,Hip Hop / RnB
Call Me D-Nice,D-Nice,1,Hip Hop / RnB
Call on Me,Janet with Nelly,1,Hip Hop / RnB
Callin' Me,Lil Zane,1,Hip Hop / RnB
Callin' Me,Lil Zane ,1,Hip Hop / RnB
Can't Be Friends,Trey Songz,1,Hip Hop / RnB
Can't Break It to My Heart,Tracy Lawrence,0,Country / Rock
Can't Feel My Face,The Weeknd,1,Hip Hop / RnB
Can't Get Over You,Maze,1,Hip Hop / RnB
Can't Get Over You,Maze ,1,Hip Hop / RnB
Can't Hold Us,Macklemore,1,Hip Hop / RnB
Can't Hold Us,Macklemore & Ryan Lewis ,1,Hip Hop / RnB
Can't Nobody Hold Me Down,Puff Daddy ,1,Hip Hop / RnB
Can't Stop,After 7,1,Hip Hop / RnB
Can I Trust You with My Heart,Travis Tritt,0,Country / Rock
Can We Talk,Tevin Campbell,1,Hip Hop / RnB
Can You Stand the Rain,New Edition,1,Hip Hop / RnB
Can You Stop the Rain,Peabo Bryson,1,Hip Hop / RnB
Candy Rain,Soul for Real,1,Hip Hop / RnB
Candy Shop,50 Cent ,1,Hip Hop / RnB
Carolina,Parmalee,0,Country / Rock
Carried Away,George Strait,0,Country / Rock
Carrying Your Love with Me,George Strait,0,Country / Rock
Cashin' Out,Cash Out,1,Hip Hop / RnB
Cathy's Clown,Reba McEntire,0,Country / Rock
Cha Cha Cha,MC Lyte,1,Hip Hop / RnB
Chains,Patty Loveless,0,Country / Rock
Chalk Outline,Three Days Grace,0,Country / Rock
Champagne,Cavo,0,Country / Rock
Change of Heart,The Judds,0,Country / Rock
Chattahoochee,Alan Jackson,0,Country / Rock
Check My Brain,Alice in Chains,0,Country / Rock
Check Yes or No,George Strait,0,Country / Rock
Check Yo Self,Ice Cube ,1,Hip Hop / RnB
Chicken Fried,Zac Brown Band,0,Country / Rock
Chillin' It,Cole Swindell,0,Country / Rock
Cleaning This Gun (Come On In Boy),Rodney Atkins,0,Country / Rock
Climax,Usher,1,Hip Hop / RnB
Closer Than Friends,Surface,1,Hip Hop / RnB
Cold Hard Bitch,Jet,0,Country / Rock
Colder Weather,Zac Brown Band,0,Country / Rock
Come a Little Closer,Dierks Bentley,0,Country / Rock
Come and Talk to Me,Jodeci,1,Hip Hop / RnB
Come Around,Papa Roach,0,Country / Rock
Come Back Song,Darius Rucker,0,Country / Rock
Come Cryin' to Me,Lonestar,0,Country / Rock
Come from the Heart,Kathy Mattea,0,Country / Rock
Come Next Monday,K. T. Oslin,0,Country / Rock
Come Over,Kenny Chesney,0,Country / Rock
Coming Down,Five Finger Death Punch,0,Country / Rock
Coming for You,The Offspring,0,Country / Rock
Compass,Lady Antebellum,0,Country / Rock
Confessions Part II,Usher,1,Hip Hop / RnB
Congregation,Foo Fighters,0,Country / Rock
Consider Me Gone,Reba[A],0,Country / Rock
Country Boy,Alan Jackson,0,Country / Rock
Country Grammar (Hot Shit),Nelly,1,Hip Hop / RnB
Country Must Be Country Wide,Brantley Gilbert,0,Country / Rock
Country Song[6],Seether,0,Country / Rock
"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith,0,Country / Rock
Cowboy Casanova,Carrie Underwood,0,Country / Rock
Cowboy Take Me Away,Dixie Chicks,0,Country / Rock
Crank That (Soulja Boy),Soulja Boy,1,Hip Hop / RnB
Crash and Burn,Thomas Rhett,0,Country / Rock
Crash My Party,Luke Bryan,0,Country / Rock
Craving You,Thomas Rhett ,0,Country / Rock
Crazy,The Boys,1,Hip Hop / RnB
Crazy Girl,Eli Young Band,0,Country / Rock
Crazy in Love,Beyoncé ,1,Hip Hop / RnB
Creep,TLC,1,Hip Hop / RnB
Criticize,Adelitas Way,0,Country / Rock
Cruise,Florida Georgia Line,0,Country / Rock
Cry for You,Jodeci,1,Hip Hop / RnB
Cryin' Like a Bitch,Godsmack,0,Country / Rock
Cut the Cord,Shinedown,0,Country / Rock
Cyanide,Metallica,0,Country / Rock
Da Butt,E.U.,1,Hip Hop / RnB
Daddy's Come Around,Paul Overstreet,0,Country / Rock
Daddy's Little Girl,Nikki D,1,Hip Hop / RnB
Daddy's Money,Ricochet,0,Country / Rock
Dallas,Alan Jackson,0,Country / Rock
Damn!,YoungBloodz ,1,Hip Hop / RnB
Dance Macabre,Ghost,0,Country / Rock
Danger (Been So Long),Mystikal ,1,Hip Hop / RnB
Dani California,Red Hot Chili Peppers,0,Country / Rock
Dansin wit Wolvez,Strik 9ine,1,Hip Hop / RnB
Dark Necessities,Red Hot Chili Peppers,0,Country / Rock
Days Go By,Keith Urban,0,Country / Rock
Dead and Gone,T.I. ,1,Hip Hop / RnB
Deal with the Devil,Pop Evil,0,Country / Rock
Deeper Than the Holler,Randy Travis,0,Country / Rock
Déjà Vu,Beyoncé ,1,Hip Hop / RnB
Deuces,Chris Brown ,1,Hip Hop / RnB
Devil,Shinedown,0,Country / Rock
Devour,Shinedown,0,Country / Rock
Dial My Heart,The Boys,1,Hip Hop / RnB
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,0,Country / Rock
Diamonds,Rihanna,1,Hip Hop / RnB
Diamonds and Pearls,Prince and the New Power Generation,1,Hip Hop / RnB
Die a Happy Man,Thomas Rhett,0,Country / Rock
Differences,Ginuwine,1,Hip Hop / RnB
Dilemma,Nelly ,1,Hip Hop / RnB
Dirt,Florida Georgia Line,0,Country / Rock
Dirt on My Boots,Jon Pardi,0,Country / Rock
Dirt Road Anthem,Jason Aldean,0,Country / Rock
Do I Make You Wanna,Billy Currington,0,Country / Rock
Do It to Me,Lionel Richie,1,Hip Hop / RnB
Do Me Again,Freddie Jackson,1,Hip Hop / RnB
Do You Believe Me Now,Jimmy Wayne,0,Country / Rock
Do Your Worst,Rival Sons,0,Country / Rock
Does He Love You,Reba McEntire with Linda Davis,0,Country / Rock
Doin' What She Likes,Blake Shelton,0,Country / Rock
Don't Be Afraid,Aaron Hall,1,Hip Hop / RnB
Don't Be Cruel,Bobby Brown,1,Hip Hop / RnB
Don't Blink,Kenny Chesney,0,Country / Rock
Don't Forget About Us,Mariah Carey,1,Hip Hop / RnB
Don't Get Me Started,Rhett Akins,0,Country / Rock
Don't Happen Twice,Kenny Chesney,0,Country / Rock
Don't It,Billy Currington,0,Country / Rock
Don't Let Go (Love),En Vogue,1,Hip Hop / RnB
Don't Let Our Love Start Slippin' Away,Vince Gill,0,Country / Rock
Don't Mind,Kent Jones,1,Hip Hop / RnB
Don't Rock the Jukebox,Alan Jackson,0,Country / Rock
Don't Take It Personal,Jermaine Jackson,1,Hip Hop / RnB
Don't Take It Personal (Just One of Dem Days),Monica,1,Hip Hop / RnB
Don't Take the Girl,Tim McGraw,0,Country / Rock
Don't Tell 'Em,Jeremih ,1,Hip Hop / RnB
Don't Think I Don't Think About It,Darius Rucker,0,Country / Rock
Don't Wanna Change the World,Phyllis Hyman,1,Hip Hop / RnB
Don't Ya,Brett Eldredge,0,Country / Rock
Don't You Ever Get Tired (Of Hurting Me),Ronnie Milsap,0,Country / Rock
Don't You Wanna Stay,Jason Aldean and Kelly Clarkson,0,Country / Rock
Done,The Band Perry,0,Country / Rock
Down Home,Alabama,0,Country / Rock
Down Low (Nobody Has to Know),R. Kelly ,1,Hip Hop / RnB
Down the Road,Kenny Chesney with Mac McAnally,0,Country / Rock
Downtown,Lady Antebellum,0,Country / Rock
Drank in My Cup,Kirko Bangz,1,Hip Hop / RnB
Dreamin',Vanessa Williams,1,Hip Hop / RnB
Dreaming with My Eyes Open,Clay Walker,0,Country / Rock
Drift & Die,Puddle of Mudd,0,Country / Rock
Drink a Beer,Luke Bryan,0,Country / Rock
Drink in My Hand,Eric Church,0,Country / Rock
Drink on It,Blake Shelton,0,Country / Rock
Drink to That All Night,Jerrod Niemann,0,Country / Rock
Drive (For Daddy Gene),Alan Jackson,0,Country / Rock
Drop It Like It's Hot,Snoop Dogg ,1,Hip Hop / RnB
Drowns the Whiskey,Jason Aldean ,0,Country / Rock
Drunk in Love,Beyoncé ,1,Hip Hop / RnB
Drunk Last Night,Eli Young Band,0,Country / Rock
Drunk on a Plane,Dierks Bentley,0,Country / Rock
Drunk on You,Luke Bryan,0,Country / Rock
Duck and Run,3 Doors Down,0,Country / Rock
Dust on the Bottle,David Lee Murphy,0,Country / Rock
Earned It,The Weeknd,1,Hip Hop / RnB
"Easy Come, Easy Go",George Strait,0,Country / Rock
Edge of a Revolution,Nickelback,0,Country / Rock
Emotionless,Red Sun Rising,0,Country / Rock
Emotions,Mariah Carey,1,Hip Hop / RnB
Empire State of Mind,Jay-Z,1,Hip Hop / RnB
Empire State of Mind,Jay-Z ,1,Hip Hop / RnB
End of the Road,Boyz II Men,1,Hip Hop / RnB
Escapade,Janet Jackson,1,Hip Hop / RnB
Even If It Breaks Your Heart,Eli Young Band,0,Country / Rock
Even Though I'm Leaving,Luke Combs,0,Country / Rock
Every Little Step,Bobby Brown,1,Hip Hop / RnB
Every Little Thing,Carly Pearce,0,Country / Rock
Every Little Thing,Russell Dickerson,0,Country / Rock
Every Mile a Memory,Dierks Bentley,0,Country / Rock
Every Storm (Runs Out of Rain),Gary Allan,0,Country / Rock
Every Time I Hear That Song,Blake Shelton,0,Country / Rock
Everybody Wants to Go to Heaven,Kenny Chesney with The Wailers[A],0,Country / Rock
Everything's Gonna Be Alright,David Lee Murphy and Kenny Chesney,0,Country / Rock
Everything I Miss at Home,Cherrelle,1,Hip Hop / RnB
Everything to Me,Monica,1,Hip Hop / RnB
Everywhere,Tim McGraw,0,Country / Rock
Exclusivity,Damian Dame,1,Hip Hop / RnB
Excuse Me Miss,Jay-Z,1,Hip Hop / RnB
Exhale (Shoop Shoop),Whitney Houston,1,Hip Hop / RnB
Expression,Salt-n-Pepa,1,Hip Hop / RnB
Eyes on You,Chase Rice,0,Country / Rock
Face Everything and Rise,Papa Roach,0,Country / Rock
Face to the Floor,Chevelle,0,Country / Rock
Failure[14],Breaking Benjamin,0,Country / Rock
Fake It,Seether,0,Country / Rock
Fall for Your Type,Jamie Foxx ,1,Hip Hop / RnB
Fall to Pieces,Velvet Revolver,0,Country / Rock
Fallin',Alicia Keys,1,Hip Hop / RnB
Family Affair,Mary J. Blige,1,Hip Hop / RnB
Fancy,Drake,1,Hip Hop / RnB
Fancy,Iggy Azalea,1,Hip Hop / RnB
Fantasy,Mariah Carey,1,Hip Hop / RnB
Fast,Luke Bryan,0,Country / Rock
Fast Cars and Freedom,Rascal Flatts,0,Country / Rock
Father of All...,Green Day,0,Country / Rock
Feel Invincible,Skillet,0,Country / Rock
Feel That Fire,Dierks Bentley,0,Country / Rock
Feels Good,Tony! Toni! Toné!,1,Hip Hop / RnB
Feels Good (Don't Worry Bout a Thing),Naughty by Nature ,1,Hip Hop / RnB
Felt Good on My Lips,Tim McGraw,0,Country / Rock
Fiesta,R. Kelly ,1,Hip Hop / RnB
Fight the Power,Public Enemy,1,Hip Hop / RnB
Figured You Out[44],Nickelback,0,Country / Rock
Find Out Who Your Friends Are,Tracy Lawrence,0,Country / Rock
Fishnet,Morris Day,1,Hip Hop / RnB
Five Minutes,Lorrie Morgan,0,Country / Rock
Five More Minutes,Scotty McCreery,0,Country / Rock
Flamboyant,Big L,1,Hip Hop / RnB
Fly Over States,Jason Aldean,0,Country / Rock
Follow Me Down,The Pretty Reckless,0,Country / Rock
Foolish,Ashanti,1,Hip Hop / RnB
Foolish Pride,Travis Tritt,0,Country / Rock
Footsteps,Pop Evil,0,Country / Rock
For My Broken Heart,Reba McEntire,0,Country / Rock
For the First Time,Darius Rucker,0,Country / Rock
Forever,Drake ,1,Hip Hop / RnB
Forever's as Far as I'll Go,Alabama,0,Country / Rock
Forever My Lady,Jodeci,1,Hip Hop / RnB
Forever Together,Randy Travis,0,Country / Rock
Fortunate,Maxwell,1,Hip Hop / RnB
FourFiveSeconds,Rihanna ,1,Hip Hop / RnB
Freak Like Me,Halestorm,0,Country / Rock
Freak Me,Silk,1,Hip Hop / RnB
Free,Zac Brown Band,0,Country / Rock
Free and Easy (Down the Road I Go),Dierks Bentley,0,Country / Rock
Friend of Mine,Kelly Price,1,Hip Hop / RnB
Friends in Low Places,Garth Brooks,0,Country / Rock
From a Jack to a King,Ricky Van Shelton,0,Country / Rock
From Here to Eternity,Michael Peterson,0,Country / Rock
Frontin',Pharrell ,1,Hip Hop / RnB
Fuckin' Problems,ASAP Rocky ,1,Hip Hop / RnB
Funhouse,Kid 'n Play,1,Hip Hop / RnB
G.H.E.T.T.O.U.T.,Changing Faces,1,Hip Hop / RnB
Games,Chuckii Booker,1,Hip Hop / RnB
Gangnam Style,Psy,1,Hip Hop / RnB
Gangsta Lean,DRS,1,Hip Hop / RnB
Get Along,Kenny Chesney,0,Country / Rock
Get Busy,Sean Paul,1,Hip Hop / RnB
Get It on Tonite,Montell Jordan,1,Hip Hop / RnB
Get Low,Lil Jon & the East Side Boyz ,1,Hip Hop / RnB
Get Me Some of That,Thomas Rhett,0,Country / Rock
"Get Outta My Dreams, Get into My Car",Billy Ocean,1,Hip Hop / RnB
Get Up,Shinedown,0,Country / Rock
Get Your Shine On,Florida Georgia Line,0,Country / Rock
Gettin' You Home (The Black Dress Song),Chris Young,0,Country / Rock
Gimmie That Girl,Joe Nichols,0,Country / Rock
Girl,Maren Morris,0,Country / Rock
Girl Crush,Little Big Town,0,Country / Rock
Girl I Got My Eyes On You,Today,1,Hip Hop / RnB
Girl in a Country Song,Maddie & Tae,0,Country / Rock
Girl Like You,Jason Aldean,0,Country / Rock
Girlfriend,Pebbles,1,Hip Hop / RnB
Girls Lie Too,Terri Clark,0,Country / Rock
Give It Away,George Strait,0,Country / Rock
Give Me Back My Hometown,Eric Church,0,Country / Rock
Giving Him Something He Can Feel,En Vogue,1,Hip Hop / RnB
Giving You the Benefit,Pebbles,1,Hip Hop / RnB
Giving You the Best That I Got,Anita Baker,1,Hip Hop / RnB
Go to War,Nothing More,0,Country / Rock
God's Country,Blake Shelton,0,Country / Rock
God's Plan,Drake,1,Hip Hop / RnB
God Gave Me You,Blake Shelton,0,Country / Rock
God Love Her,Toby Keith,0,Country / Rock
"God, Your Mama, and Me",Florida Georgia Line ,0,Country / Rock
Gold Digger,EPMD,1,Hip Hop / RnB
Gold Digger,Kanye West ,1,Hip Hop / RnB
Gone Country,Alan Jackson,0,Country / Rock
Gonna,Blake Shelton,0,Country / Rock
Gonna Get a Life,Mark Chesnutt,0,Country / Rock
Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory ,1,Hip Hop / RnB
Good as You,Kane Brown,0,Country / Rock
Good Directions,Billy Currington,0,Country / Rock
Good Girl,Carrie Underwood,0,Country / Rock
Good Girl,Dustin Lynch,0,Country / Rock
Good Kisser,Usher,1,Hip Hop / RnB
Good Life,Kanye West ,1,Hip Hop / RnB
Good Morning Beautiful,Steve Holy,0,Country / Rock
Good Time,Alan Jackson,0,Country / Rock
Good Times,Dan Seals,0,Country / Rock
Good Vibes,Chris Janson,0,Country / Rock
Goodbye in Her Eyes,Zac Brown Band,0,Country / Rock
Goodies,Ciara ,1,Hip Hop / RnB
Greatest Love Story,Lanco,0,Country / Rock
Grillz,Nelly ,1,Hip Hop / RnB
Grown Men Don't Cry,Tim McGraw,0,Country / Rock
Guilty All the Same,Linkin Park ,0,Country / Rock
Guys Do It All the Time,Mindy McCready,0,Country / Rock
Hail to the King,Avenged Sevenfold,0,Country / Rock
Happy,Pharrell Williams,1,Hip Hop / RnB
Happy?,Mudvayne,0,Country / Rock
Hard Rock Bottom of Your Heart,Randy Travis,0,Country / Rock
Hard to Love,Lee Brice,0,Country / Rock
Hardwired,Metallica,0,Country / Rock
Hate It or Love It,The Game ,1,Hip Hop / RnB
Have You Forgotten?,Darryl Worley,0,Country / Rock
