song,artist,hip_hop_rnb,lyrics,genre
A Guy with a Girl,Blake Shelton,0,"Sometimes I'm the guy with the boys, kicking it back Or the guy with a guitar singing on a country track I might be the guy with an ice cold can Stirring up dust on some old farmland When I walk into the party with you girl, you change all that And I’m just the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like, ""Ain’t she beautiful?"" I’m invisible, but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But, I don’t mind being the guy with the girl, no It's funny watchin' 'em do the way they do They come walkin' up to me but they only wanna talk to you And I don't blame 'em that they're hypnotized They keep staring at your heartbreak eyes It's like their heart starts stoppin' when you come walkin' into the room And I turn into the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like, ""Ain’t she beautiful?"" I’m invisible, but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But, I don’t mind being the guy with the girl The guy that don't know how he got her But he ain't never gon' let her, never gon' let her go Woah-oh, yeah I’m just the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like ""ain’t she beautiful?"" I’m invisible, but, I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But, I don’t mind being the guy with the girl (Guy with the girl) No, I don't mind being the guy with the girl (Guy with the girl) Yeah, I'm just the guy with the girl I'm always the guy with the girl I don't mind it, baby I don't mind it, baby I'm always the guy with the girl",Country / Rock
A Jukebox with a Country Song,Doug Stone,0,"After three good years together, we had our first big fight So she went to her mothers' and I went for a drive Down an old familiar highway, just a few miles out of town To that rundown one-room tavern that used to be my stomping ground Well I pulled in the driveway, you know it all still looked the same And I couldn't wait to down a few and hear that jukebox ring But as I walked in through the doorway, there stood some kind of Maitre D' Well he looked me up and he looked me down, said ""May I help you please?"" and I said What'd you do with those swinging doors Where's the sawdust on the floor Why's everybody wearing suits and ties From where I stand I can't believe my eyes And whose idea what it to hang these ferns This brand new bar don't have a single burn I guess I'm somewhere that I don't belong I need a jukebox with a country song Well I look back to the corner where the jukebox once stood proud Some fool was playing records, too fast, too long and too loud And it must have been a big mistake to try to speak my mind So as they were asking me to leave, I cried out one more time What'd you do with those swinging doors And where's the sawdust on the floor Why's everybody wearing suits and ties From where I stand I can't believe my eyes And whose idea what it to hang these ferns This brand new bar don't have a single burn I guess I'm somewhere that I don't belong I need a jukebox with a country song I guess I don't belong Without a jukebox and a country song",Country / Rock
A Little Bit Stronger,Sara Evans,0,"Woke up late today and I Still feel the sting of the pain, but I Brushed my teeth anyway I got dressed through the mess and put a smile on my face I got a little bit stronger Ridin' in the car to work and I'm Tryin' to ignore the hurt, so I Turned on the radio Stupid song made me think of you I listened to it for a minute But then I changed it I'm gettin' a little bit stronger Just a little bit stronger And I'm done hopin' That we could work it out I'm done with how it feels Spinnin' my wheels Lettin' you drag my heart around, and oh And I'm done thinkin' That you could ever change I know my heart will never be the same But I'm tellin' myself I'll be okay Even on my weakest days I get a little bit stronger It doesn't happen overnight, but you Turn around and a month's gone by and you Realize you haven't cried I'm not givin' you an hour or a second or another minute longer I'm busy gettin' stronger And I'm done hopin' That we could work it out I'm done with how it feels Spinnin' my wheels Lettin' you drag my heart around, and oh And I'm done thinkin' That you could ever change I know my heart will never be the same But I'm tellin' myself I'll be okay Even on my weakest days I get a little bit stronger I get a little bit stronger I'm gettin' along without you, baby I'm better off without you, baby How does it feel without me, baby? I'm gettin' stronger without you, baby And I'm done hopin' We could work it out I'm done with how it feels Spinnin' my wheels And lettin' you drag my heart around, and oh And I'm done thinkin' That you could ever change I know my heart will never be the same But I'm tellin' myself I'll be okay Even on my weakest days I get a little bit stronger I get a little bit stronger I'm just a little bit stronger (Hey, yeah) A little bit (Hey, yeah) A little bit A little bit stronger (Hey, yeah) (Hey, yeah) I'm gettin' a little bit stronger (Hey, yeah)",Country / Rock
A Little More Country Than That,Easton Corbin,0,"Imagine a dirt road full of potholes With a creek bank and some cane poles catching channel cat I'm a little more country than that Picture a small town with an old hound Laying out front of the courthouse While the old men chew the fat I'm a little more country than that I just want to make sure you know just who your getting under this old hat 'Cause girl I'm I'm not the kind to two time or play games behind your back I'm a little more country than that Think of a Hank song from days gone With a steel rod that's so strong,  sends chills up your back I'm a little more country than that If you want a brick home in a school zone With the doors locked and alarms on Girl, you're way off track I'm a little more country than that I just want to make sure you know just who your getting under this old hat 'Cause girl I'm  not the kind to two time or play games behind your back I'm a little more country than that Yeah, I'm sure that you've heard those three words from lovers but they fell flat But this ring ain't something that I mean to give you and then take back I'm a little more country than that I'm a little more country than that I'm a little more country than that",Country / Rock
A Man This Lonely,Brooks & Dunn,0,"A man this lonely, a man this blue A man whose world's, been torn in two Needs somebody, with a heart that's true A man this lonely needs a woman like you Two arms this empty, need someone to hold A man this lost needs somewhere to go When the nights go on forever, and the days do too A man this lonely needs a woman like you I'd lost hope, I was so far down Here you come turnin' all that around I'd come to think of love as a lie All that's on my mind now, is you by my side Oh, a man this lonely (A man this lonely), a man this blue (A man this blue) A man whose world's, been torn in two Needs somebody (Needs somebody), with a heart that's true A man this lonely needs a woman like you A man this lonely needs a woman like you",Country / Rock
A Milli,Lil Wayne,1,"Bangladesh Young Money! You dig? Mack, I'm going in A millionaire, I'm a Young Money millionaire Tougher than Nigerian hair My criteria compared to your career just isn't fair I'm a venereal disease, like a menstrual bleed Through the pencil, and leak on the sheet of the tablet in my mind 'Cause I don't write shit, 'cause I ain't got time 'Cause my seconds, minutes, hours go to the almighty dollar And the almighty power of that ch-cha-cha-cha-chopper Sister, brother, son, daughter, father; mother-fuck a copper Got the Maserati dancin' on the bridge, pussy poppin' Tell the coppers: ""Ha-ha-ha-ha You can't catch him, you can't stop him"" I go by them goon rules: if you can't beat 'em, then you pop 'em You can't man 'em, then you mop 'em You can't stand 'em, then you drop 'em You pop 'em 'cause we pop 'em like Orville Redenbacher Motherfucker, I'm ill A million here, a million there Sicilian bitch with long hair, with coke in her derriere Like smoking the thinnest air I open the Lamborghini, hopin' them crackers see me Like, ""Look at that bastard Weezy!"" He's a beast, he's a dog, he's a mothafuckin' problem Okay, you're a goon, but what's a goon to a goblin? Nothin', nothin', you ain't scarin' nothin' On some faggot bullshit: call 'em Dennis Rodman Call me what you want, bitch! Call me on my Sidekick! Never answer when it's private, damn, I hate a shy bitch Don't you hate a shy bitch? Yeah, I ate a shy bitch She ain't shy no more, she changed her name to My Bitch Yeah, nigga, that's my bitch, so when she ask For the money when you through, don't be surprised, bitch! And it ain't trickin' if you got it But you like a bitch with no ass: You ain't got shit Motherfucker, I'm ill, not sick And I'm okay, but my watch sick, yeah, my drop sick Yeah, my Glock sick, and my knot thick — I'm it Motherfucker, I'm ill See, they say I'm rappin' like B.I.G., Jay, and 2Pac André 3000, where is Erykah Badu at? Who that? Who that said they gon' beat Lil Wayne? My name ain't Bic, but I keep that flame, man Who that one that do that, boy? You knew that true that, swallow And I be the shit, now you got loose bowels I don't owe you like two vowels But I would like for you to pay me by the hour And I'd rather be pushin' flowers Than to be in the pen sharin' showers Tony told us this world was ours And the Bible told us every girl was sour Don't play in her garden and don't smell her flower Call me Mr. Carter or Mr. Lawn Mower Boy, I got so many bitches, like I'm Mike Lowrey Even Gwen Stefani said she couldn't doubt me Motherfucker, I say ""Life ain't shit without me"" Chrome lips pokin' out the coupe, look like it's poutin' I do what I do, and you do what you can do about it Bitch, I can turn a crack rock into a mountain — dare me Don't you compare me, ‘cause there ain't nobody near me They don't see me but they hear me They don't feel me but they fear me I'm illy, C3, 3 Peat",Hip Hop / RnB
A Real Fine Place to Start,Sara Evans,0,"I'm gonna do it darlin' I could waste time tryin' to figure it out But I'm jumpin' anyhow I've never been this far Didn't know love could run so deep Didn't know I'd lose this much sleep Holdin' you close, chasin' that moon Spendin' all night Lovin' just who you are Sparks flyin' in the dark Shootin' out lights, runnin' down dreams Figurin' out what love really means Baby, givin' you my heart Is a real fine place to start Somethin' is goin' on I can't explain but sure can touch It's callin' both of us Stronger than any fear or doubt It's changin' everything I see It's changin' you, it's changin' me Right here, right now's the perfect spot, the perfect time The perfect moment when your skin is next to mine Yeah, yeah Holdin' you close, (Holdin' you close.) Chasin' that moon. (Chasin' that moon.) Spendin' all night Lovin' just who you are Sparks flyin' in the dark Shootin' out lights, (Shootin' down lights.) Runnin' down dreams, (Runnin' down dreams.) Figurin' out just what love really means Baby, givin' you my heart's a real fine place Real fine place to start Oh yeah Oh, oh, oh",Country / Rock
A Reason to Fight,Disturbed,0,"The image in your eyes Reflecting the pain that has taken you I hear it in your voice, so ridden with shame From what's ailing you I won't give up, so don't give in You've fallen down, but you can rise again So don't give up When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight Lost in your world of lies I find it so hard to believe in you Can it be real this time Or just a part of this game that we're playing through? I won't give up, so don't give in You've fallen down, but you will rise again I won't give up When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight Don't let it take your soul Look at me, take control We're going to fight this war This is nothing worth dying for Are you ready to begin? This is a battle that we are gonna win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight I'll be your reason to fight Give you a reason to fight",Country / Rock
A Song for Mama,Boyz II Men,1,"You taught me everything Everything you've given me I'll always keep it inside You're the driving force in my life, yeah There isn't anything Or anyone that I could be And it just wouldn't feel right If I didn't have you by my side You were there for me to love and care for me When skies were gray Whenever I was down You were always there to comfort me And no one else can be What you have been to me you will always be You will always be the girl In my life for all times Mama, Mama you know I love you Mama, Mama you're the queen of my heart Your love is like tears from the stars Mama I just want you to know Lovin' you is like food to my soul You're always down for me Have always been around for me even when I was bad You showed me right from my wrong Yes you did And you took up for me When everyone was downin' me You always did understand You gave me strength to go on There were so many times Looking back when I was so afraid And then you'd come to me and say to me I can face anything And no one else can do What you have done for me You'll always be, you will always be The girl in my life, ooh oh Mama, Mama you know I love you (Ooh, you know I love you) Mama, Mama you're the queen of my heart Your love is like tears from the stars (Your love is like tears from the stars) Mama I just want you to know (Mama I just want you to know) Lovin' you is like food to my soul Never gonna go a day without you Fills me up just thinkin' about you I'll never go a day Without my mama Mama, Mama you know I love you Mama, Mama you're the queen of my heart Your love is like tears from the stars (Like tears from the stars) Mama I just want you to know Lovin' you is like food to my soul Oh, oh, oohh Food to my soul",Hip Hop / RnB
A Woman in Love,Ronnie Milsap,0,"No matter what you do or say She's always got to have her way She'll bring you down just to cheer you up You never know with a woman in love The minute you start holding on You'll turn around and she'll be gone This is very unpredictable stuff You never know with a woman in love She's a lady, she's a child She'll make you crazy, she'll drive you wild Do you give in or do you just give up You never know with a woman in love You never know with a woman in love I oughta know 'cause I've held a few I've seen the things that a woman can do She'll play the game 'til you call her bluff Oh, You never know with a woman in love Just when you think you've got it all together If you blink she'll change just like the weather, oh, oh, oh No matter what you do or say She's always got to have her way This is very unpredictable stuff You never know with a woman in love She's a lady, she's a child She'll make you crazy, she'll drive you wild Do you give in or do you just give up You never know with a woman in love You never know with a woman in love You never know with a woman in love You never know with a woman, oh, oh, woman in love...",Country / Rock
A Woman Like You,Lee Brice,0,"Last night, outta the blue Driftin' off to the evening news She said ""Honey, what would you do If you'd never met me"" I just laughed, said ""I don't know But I could take a couple guesses though"" And then tried to dig real deep Said, ""Darling honestly... I'd do a lot more offshore fishin' I'd probably eat more drive-thru chicken Take a few strokes off my golf game If I'd have never known your name I'd still be driving that old green 'Nova I probably never would have heard of yoga Be a better football fan But if I was a single man Alone and out there on the loose Well I'd be looking for a woman like you."" I could tell that got her attention So I said, ""Oh yeah, I forgot to mention I wouldn't trade a single day For 100 years the other way."" She just smiled and rolled her eyes, Cause she's heard all of my lines I said, ""C'mon on girl, seriously If I hadn't been so lucky I'd be shootin' pool in my bachelor pad Playing bass in my cover band Restocking up cold Bud Light For poker every Tuesday night Yeah I'd have a dirtbike in the shed And not one throw pillow on the bed I'd keep my cash in a coffee can But if I was a single man Alone and out there on the loose Well I'd be looking for a woman like you."" She knows what a mess I'd be if I didn't have her here But to be sure I whispered in her ear ""You know I get sick deep-sea fishin' And you make the best fried chicken I got a hopeless golf game I love the sound of your name I might miss that old green 'Nova But I love watchin' you do yoga I'd take a gold band on my hand Over being a single man Cause honestly I don't know what I'd do If I'd never met a woman like you.""",Country / Rock
Above and Beyond,Rodney Crowell,0,"Well, I'll give you love that's above and beyond the call of love And I'll never ever make you cry Yes, I'll give you love that's above and beyond the call of love And love's somnething that money can't buy Well a poor boys chances for a pretty girls glances Are somnetimes very few Though I got no money if you'll be my honey Here's what I'll offer you Yes, I'll give you love that's above and beyond the call of love And I'll never, ever make you cry Yes, I'll give you love that's above and beyond the call of love And love's something that money can't buy Well, we met by chance and I knew in a glance That I'd found my destiny Now I want to carry you off and marry you if you will agree And, I'll give you love that's above and beyond the call of love And I'll never, ever make you cry Yes, I'll give you love that's above and beyond the call of love And love's somnething that money can't buy",Country / Rock
Ace in the Hole,George Strait,0,"You've got to have an ace in the hole A little secret that nobody knows Life is a gamble, a game we all play But you need to save something for a rainy day You've got to learn to play your cards right If you expect to win in life Don't put it all on the line for just one roll You've got to have an ace in the hole If you're headed down a one way street And you're not sure it's the way you want to go In money or love, or all the above Have a little more than what you show When life deals out a surprise Have a few surprises of your own No matter what you do, no matter where you go You've got to have an ace in the hole You've got to have an ace in the hole A little secret that nobody knows Life is a gamble, a game we all play But you need to save something for a rainy day You've got to learn to play your cards right If you expect to win in life Don't put it all on the line for just one roll You've got to have an ace in the hole Don't put it all on the line for just one roll You've got to have an ace in the hole No matter what you do, no matter where you go You've got to have an ace in the hole",Country / Rock
Achy Breaky Heart,Billy Ray Cyrus,0,"You can tell the world you never was my girl You can burn my clothes when I'm gone Or you can tell your friends just what a fool I've been And laugh and joke about me on the phone You can tell my arms go back to the farm You can tell my feet to hit the floor Or you can tell my lips to tell my fingertips They won't be reaching out for you no more But don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man, ooh You can tell your ma I moved to Arkansas You can tell your dog to bite my leg Or tell your brother Cliff whose fist can tell my lip He never really liked me anyway Or tell your Aunt Louise, tell anything you please Myself already knows I'm not okay Or you can tell my eyes to watch out for my mind It might be walking out on me today But don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man, ooh Don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man Don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man, ooh-ooh Ooh!",Country / Rock
Addictive Love,BeBe & CeCe Winans,1,"Ooh, ooh Ooh, ooh Ooh, hoo, hoo Way higher, yeah Yeah Yeah All I wanna do is just explain Why that we feel the way we do (Ooh) What a joy to share with you For me to live is Christ To die is gain If anymore I need to say The list goes on and on all day I'll cherish that moment for life And I know it might sound crazy It's all right Take a seat Hold tight Time to admit (Time we should admit it) I'm so addicted, yeah You see He's taken my heart And showed me the right way No doubt about it (Doubt it, no doubt) See, I'm lost without it Yeah You see this love takes me higher I didn't know why then I found it was addictive love Yeah (Woo, hoo, yeah) Now that we've evened up the score Hey, what do you mean there's so much more? I need to tell why we adore The reason why I smile When I When I wake up And also the reason Why I dream (Reason why I dream) My love My joy My everything So much love He's given to me Everything I longed for Everything I need That means I'm never alone So glad And everything I've dreamed and much more (Much more, yeah, yeah, yeah, yeah, yeah) So much more And I'll cherish (Cherish the moment) That moment for life For the rest of my life, yeah, yeah And I know it might sound crazy But (It's not crazy) No I'm not crazy I've never known anyone to Love me quite the way you do And I tell you It's hopeless I've finally noticed that (Hopeless) I'm just forever addicted, forever (Forever in love) Hey (Yeah, yeah, yeah)",Hip Hop / RnB
