song	artist	hip_hop_rnb	lyrics
A Guy Walks Into a Bar	Tyler Farr	0	The joke's on me and it ain't funny Everybody but me could see the punch line coming A mile away I've heard it so many times I can tell it To the T, believe me I could sell it All day It goes... A guy walks into a bar, orders a drink Sees a girl that catches his eye Asks her if she wants another They fall for each other and end up lovers They laugh, cry, hold on tight Make it work for a little while Then one night her taillights fade out into the dark And a guy walks into a bar I'd laugh too if my heart would let me Keeping it light will probably help to get me Over you I'm walking, talking, drinking proof A cliché in a corner booth Ain't nothing new A guy walks into a bar, orders a drink Sees a girl that catches his eye Asks her if she wants another They fall for each other and end up lovers They laugh, cry, hold on tight Make it work for a little while Then one night her taillights fade out into the dark And a guy walks into a bar A guy walks into a bar, orders a drink Sees a girl that catches his eye Asks her if she wants another They fall for each other and end up lovers They laugh, cry, hold on tight Make it work for a little while Then one night her taillights fade out into the dark And a guy walks into a bar
A Guy with a Girl	Blake Shelton	0	Sometimes I'm the guy with the boys, kicking it back Or the guy with a guitar singing on a country track I might be the guy with an ice cold can Stirring up dust on some old farmland When I walk into the party with you girl, you change all that And I’m just the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like, ""Ain’t she beautiful?"" I’m invisible, but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But, I don’t mind being the guy with the girl, no It's funny watchin' 'em do the way they do They come walkin' up to me but they only wanna talk to you And I don't blame 'em that they're hypnotized They keep staring at your heartbreak eyes It's like their heart starts stoppin' when you come walkin' into the room And I turn into the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like, ""Ain’t she beautiful?"" I’m invisible, but I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But, I don’t mind being the guy with the girl The guy that don't know how he got her But he ain't never gon' let her, never gon' let her go Woah-oh, yeah I’m just the guy with the girl everybody wants to know Wishin' you were there alone Wonderin' how I ever got your little hand in mine Lookin' over at ya like ""ain’t she beautiful?"" I’m invisible, but, I stand right there and smile You're right beside me, oh and I see the same thing they’re seein' But, I don’t mind being the guy with the girl (Guy with the girl) No, I don't mind being the guy with the girl (Guy with the girl) Yeah, I'm just the guy with the girl I'm always the guy with the girl I don't mind it, baby I don't mind it, baby I'm always the guy with the girl
A Jukebox with a Country Song	Doug Stone	0	After three good years together, we had our first big fight So she went to her mothers' and I went for a drive Down an old familiar highway, just a few miles out of town To that rundown one-room tavern that used to be my stomping ground Well I pulled in the driveway, you know it all still looked the same And I couldn't wait to down a few and hear that jukebox ring But as I walked in through the doorway, there stood some kind of Maitre D' Well he looked me up and he looked me down, said ""May I help you please?"" and I said What'd you do with those swinging doors Where's the sawdust on the floor Why's everybody wearing suits and ties From where I stand I can't believe my eyes And whose idea what it to hang these ferns This brand new bar don't have a single burn I guess I'm somewhere that I don't belong I need a jukebox with a country song Well I look back to the corner where the jukebox once stood proud Some fool was playing records, too fast, too long and too loud And it must have been a big mistake to try to speak my mind So as they were asking me to leave, I cried out one more time What'd you do with those swinging doors And where's the sawdust on the floor Why's everybody wearing suits and ties From where I stand I can't believe my eyes And whose idea what it to hang these ferns This brand new bar don't have a single burn I guess I'm somewhere that I don't belong I need a jukebox with a country song I guess I don't belong Without a jukebox and a country song
A Little Bit Stronger	Sara Evans	0	Woke up late today and I Still feel the sting of the pain, but I Brushed my teeth anyway I got dressed through the mess and put a smile on my face I got a little bit stronger Ridin' in the car to work and I'm Tryin' to ignore the hurt, so I Turned on the radio Stupid song made me think of you I listened to it for a minute But then I changed it I'm gettin' a little bit stronger Just a little bit stronger And I'm done hopin' That we could work it out I'm done with how it feels Spinnin' my wheels Lettin' you drag my heart around, and oh And I'm done thinkin' That you could ever change I know my heart will never be the same But I'm tellin' myself I'll be okay Even on my weakest days I get a little bit stronger It doesn't happen overnight, but you Turn around and a month's gone by and you Realize you haven't cried I'm not givin' you an hour or a second or another minute longer I'm busy gettin' stronger And I'm done hopin' That we could work it out I'm done with how it feels Spinnin' my wheels Lettin' you drag my heart around, and oh And I'm done thinkin' That you could ever change I know my heart will never be the same But I'm tellin' myself I'll be okay Even on my weakest days I get a little bit stronger I get a little bit stronger I'm gettin' along without you, baby I'm better off without you, baby How does it feel without me, baby? I'm gettin' stronger without you, baby And I'm done hopin' We could work it out I'm done with how it feels Spinnin' my wheels And lettin' you drag my heart around, and oh And I'm done thinkin' That you could ever change I know my heart will never be the same But I'm tellin' myself I'll be okay Even on my weakest days I get a little bit stronger I get a little bit stronger I'm just a little bit stronger (Hey, yeah) A little bit (Hey, yeah) A little bit A little bit stronger (Hey, yeah) (Hey, yeah) I'm gettin' a little bit stronger (Hey, yeah)
A Little More Country Than That	Easton Corbin	0	Imagine a dirt road full of potholes With a creek bank and some cane poles catching channel cat I'm a little more country than that Picture a small town with an old hound Laying out front of the courthouse While the old men chew the fat I'm a little more country than that I just want to make sure you know just who your getting under this old hat 'Cause girl I'm I'm not the kind to two time or play games behind your back I'm a little more country than that Think of a Hank song from days gone With a steel rod that's so strong,  sends chills up your back I'm a little more country than that If you want a brick home in a school zone With the doors locked and alarms on Girl, you're way off track I'm a little more country than that I just want to make sure you know just who your getting under this old hat 'Cause girl I'm  not the kind to two time or play games behind your back I'm a little more country than that Yeah, I'm sure that you've heard those three words from lovers but they fell flat But this ring ain't something that I mean to give you and then take back I'm a little more country than that I'm a little more country than that I'm a little more country than that
A Man This Lonely	Brooks & Dunn	0	A man this lonely, a man this blue A man whose world's, been torn in two Needs somebody, with a heart that's true A man this lonely needs a woman like you Two arms this empty, need someone to hold A man this lost needs somewhere to go When the nights go on forever, and the days do too A man this lonely needs a woman like you I'd lost hope, I was so far down Here you come turnin' all that around I'd come to think of love as a lie All that's on my mind now, is you by my side Oh, a man this lonely (A man this lonely), a man this blue (A man this blue) A man whose world's, been torn in two Needs somebody (Needs somebody), with a heart that's true A man this lonely needs a woman like you A man this lonely needs a woman like you
A Reason to Fight	Disturbed	0	The image in your eyes Reflecting the pain that has taken you I hear it in your voice, so ridden with shame From what's ailing you I won't give up, so don't give in You've fallen down, but you can rise again So don't give up When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight Lost in your world of lies I find it so hard to believe in you Can it be real this time Or just a part of this game that we're playing through? I won't give up, so don't give in You've fallen down, but you will rise again I won't give up When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight Don't let it take your soul Look at me, take control We're going to fight this war This is nothing worth dying for Are you ready to begin? This is a battle that we are gonna win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason When the demon that's inside you is ready to begin And it feels like it's a battle that you will never win When you're aching for the fire and begging for your sin When there's nothing left inside, there's still a reason to fight I'll be your reason to fight Give you a reason to fight
A Song for Mama	Boyz II Men	1	You taught me everything Everything you've given me I'll always keep it inside You're the driving force in my life, yeah There isn't anything Or anyone that I could be And it just wouldn't feel right If I didn't have you by my side You were there for me to love and care for me When skies were gray Whenever I was down You were always there to comfort me And no one else can be What you have been to me you will always be You will always be the girl In my life for all times Mama, Mama you know I love you Mama, Mama you're the queen of my heart Your love is like tears from the stars Mama I just want you to know Lovin' you is like food to my soul You're always down for me Have always been around for me even when I was bad You showed me right from my wrong Yes you did And you took up for me When everyone was downin' me You always did understand You gave me strength to go on There ware so many times Looking back when I was so afraid And then you come to me and say to me I can face anything And no one else can do What you have done for me You'll always be, you will always be The girl in my life, ooh oh Mama, Mama you know I love you Mama, Mama you're the queen of my heart Your love is like tears from the stars (Your love is like tears from the stars) Mama I just want you to know (Mama I just want you to know) Lovin' you is like food to my soul Never gonna go a day without you Fills me up just thinkin' about you I'll never go a day Without my mama Mama, Mama you know I love you Mama, Mama you're the queen of my heart Your love is like tears from the stars (Like tears from the stars) Mama I just want you to know Lovin' you is like food to my soul Oh, oh, oohh Food to my soul
A Woman in Love	Ronnie Milsap	0	No matter what you do or say She's always got to have her way She'll bring you down just to cheer you up You never know with a woman in love The minute you start holding on You'll turn around and she'll be gone This is very unpredictable stuff You never know with a woman in love She's a lady, she's a child She'll make you crazy, she'll drive you wild Do you give in or do you just give up You never know with a woman in love You never know with a woman in love I oughta know 'cause I've held a few I've seen the things that a woman can do She'll play the game 'til you call her bluff Oh, You never know with a woman in love Just when you think you've got it all together If you blink she'll change just like the weather, oh, oh, oh No matter what you do or say She's always got to have her way This is very unpredictable stuff You never know with a woman in love She's a lady, she's a child She'll make you crazy, she'll drive you wild Do you give in or do you just give up You never know with a woman in love You never know with a woman in love You never know with a woman in love You never know with a woman, oh, oh, woman in love...
Above and Beyond	Rodney Crowell	0	Well, I'll give you love that's above and beyond the call of love And I'll never ever make you cry Yes, I'll give you love that's above and beyond the call of love And love's somnething that money can't buy Well a poor boys chances for a pretty girls glances Are somnetimes very few Though I got no money if you'll be my honey Here's what I'll offer you Yes, I'll give you love that's above and beyond the call of love And I'll never, ever make you cry Yes, I'll give you love that's above and beyond the call of love And love's something that money can't buy Well, we met by chance and I knew in a glance That I'd found my destiny Now I want to carry you off and marry you if you will agree And, I'll give you love that's above and beyond the call of love And I'll never, ever make you cry Yes, I'll give you love that's above and beyond the call of love And love's somnething that money can't buy
Ace in the Hole	George Strait	0	You've got to have an ace in the hole A little secret that nobody knows Life is a gamble, a game we all play But you need to save something for a rainy day You've got to learn to play your cards right If you expect to win in life Don't put it all on the line for just one roll You've got to have an ace in the hole If you're headed down a one way street And you're not sure it's the way you want to go In money or love, or all the above Have a little more than what you show When life deals out a surprise Have a few surprises of your own No matter what you do, no matter where you go You've got to have an ace in the hole You've got to have an ace in the hole A little secret that nobody knows Life is a gamble, a game we all play But you need to save something for a rainy day You've got to learn to play your cards right If you expect to win in life Don't put it all on the line for just one roll You've got to have an ace in the hole Don't put it all on the line for just one roll You've got to have an ace in the hole No matter what you do, no matter where you go You've got to have an ace in the hole
Achy Breaky Heart	Billy Ray Cyrus	0	You can tell the world you never was my girl You can burn my clothes when I'm gone Or you can tell your friends just what a fool I've been And laugh and joke about me on the phone You can tell my arms go back to the farm You can tell my feet to hit the floor Or you can tell my lips to tell my fingertips They won't be reaching out for you no more But don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man, ooh You can tell your ma I moved to Arkansas You can tell your dog to bite my leg Or tell your brother Cliff whose fist can tell my lip He never really liked me anyway Or tell your Aunt Louise, tell anything you please Myself already knows I'm not okay Or you can tell my eyes to watch out for my mind It might be walking out on me today But don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man, ooh Don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man Don't tell my heart, my achy breaky heart I just don't think he'd understand And if you tell my heart, my achy breaky heart He might blow up and kill this man, ooh-ooh Ooh!
Addictive Love	BeBe & CeCe Winans	1	Ooh, ooh Ooh, ooh Ooh, hoo, hoo Way higher, yeah Yeah Yeah All I wanna do is just explain Why that we feel the way we do (Ooh) What a joy to share with you For me to live is Christ To die is gain If anymore I need to say The list goes on and on all day I'll cherish that moment for life And I know it might sound crazy It's all right Take a seat Hold tight Time to admit (Time we should admit it) I'm so addicted, yeah You see He's taken my heart And showed me the right way No doubt about it (Doubt it, no doubt) See, I'm lost without it Yeah You see this love takes me higher I didn't know why then I found it was addictive love Yeah (Woo, hoo, yeah) Now that we've evened up the score Hey, what do you mean there's so much more? I need to tell why we adore The reason why I smile When I When I wake up And also the reason Why I dream (Reason why I dream) My love My joy My everything So much love He's given to me Everything I longed for Everything I need That means I'm never alone So glad And everything I've dreamed and much more (Much more, yeah, yeah, yeah, yeah, yeah) So much more And I'll cherish (Cherish the moment) That moment for life For the rest of my life, yeah, yeah And I know it might sound crazy But (It's not crazy) No I'm not crazy I've never known anyone to Love me quite the way you do And I tell you It's hopeless I've finally noticed that (Hopeless) I'm just forever addicted, forever (Forever in love) Hey (Yeah, yeah, yeah)
Adorn	Miguel	1	She's art dealer chic Would you be my friend, my freak? Uh, she's art dealer chic (Yeah) Would you be my friend, my freak? These lips (Would you be my f—) Can't wait to taste your skin (My friend, my freak) Baby, no, oh, no (Would you be my friend, my freak?) And these eyes, yeah I can't wait to see your grin (Art dealer chic) Ooh, ooh, baby Just let my love Just let my love adorn you (Art dealer chic) Please, baby (Would you be my friend, my freak?) Yeah, you gotta know, you gotta know You know that I adore you (Art dealer chic) Yeah, baby (Would you be my friend, my freak?) Baby these fists (Art dealer chic) Will always protect you (My friend, my freak) Lady (Would you be my friend, my freak?) And this mind Will never neglect you (Art dealer chic) Yeah baby  (Would you be my), ooh, ooh And if they try to break us down (Ooh-ooh) Don't let that affect us No, baby You just gotta let my love Let my love, let my love adorn you (Art dealer chic) Ahh, le-le-le-let it dress you down You gotta know, you gotta know Know that I adore you (Art dealer chic) Just that, baby Oh, let my love adorn you, baby Don't you ever, don't you let nobody tell you different, baby I'll always adore you You gotta know now You gotta know na-nah-now, yeah (Would you be my friend, my freak?) Oh, yeah, uh The same way that the stars adorn the skies, yeah (Every night, babe) Now look up sugar (Every night, babe) Now hey, hey, hey The same way that my whole world's in your eyes (When I look in your eyes babe) Ooh, and it's time now (And you know it's time babe) Just let, let my love Do you, baby Hey, le-le-le-let it dress you down You got to know baby, oh you gotta know That I adorn you, yeah Oh, love ain't never looked so good on you Oh, put it on, baby Let my love adorn You
Aerials	System of a Down	0	Life is a waterfall We're one in the river and one again after the fall Swimming through the void, we hear the word We lose ourselves, but we find it all 'Cause we are the ones that wanna play Always wanna go, but you never wanna stay And we are the ones that wanna choose Always wanna play, but you never wanna lose Aerials in the sky When you lose small mind, you free your life Life is a waterfall We drink from the river then we turn around and put up our walls Swimming through the void, we hear the word We lose ourselves, but we find it all 'Cause we are the ones that wanna play Always wanna go, but you never wanna stay And we are the ones that wanna choose Always wanna play, but you never wanna lose, oh Aerials in the sky When you lose small mind, you free your life Aerials, so up high When you free your eyes, eternal prize Aerials in the sky When you lose small mind, you free your life Aerials, so up high When you free your eyes, eternal prize Ah, ah, ah, ah, ah, ah Ah, ah, ah-ah, ah-ah, ah-ah-ah Ah, ah, ah, ah, ah, ah Ah, ah, ah-ah, ah-ah, ah-ah, om
After All This Time	Rodney Crowell	0	There were trains And we out-run 'em There were songs And we out-sung 'em There were brighter days never ending There was time And we were burnin' There were rhymes And we were learnin' There was all the love two hearts could hold And after all this time You're always on my mind Hey I could never let it end 'Cause my heart takes so long to mend The dream that keeps your hopes alive The lonely nights you hold inside And after all this time You're always on my mind I still want you There was rain That we outlasted There was pain But we got past it There were last goodbyes still left unspoken There were ways I should have thrilled you There were days I could have killed you You're the only love my life has known And after all this time You're always on my mind Hey I could never let you go A broken heart that heals so slow Could never beat for someone new While you're alive and I am too And after all this time You're always on my mind I still miss you And I could never let it in 'Cause my heart takes so long to mend The dream that keeps your hopes alive The lonely nights you hold inside And after all this time You're always on my mind I still want you Hey after all this time You're always on my mind I still love you
