song,artist,hip_hop_rnb,lyrics,genre
Can't Hold Us,Macklemore,1,NA,Hip Hop / RnB
Candy Rain,Soul for Real,1,NA,Hip Hop / RnB
Check Yo Self,Ice Cube,1,NA,Hip Hop / RnB
Colder Weather,Zac Brown Band,0,NA,Country / Rock
Come Next Monday,K. T. Oslin,0,NA,Country / Rock
Consider Me Gone,Reba[A],0,NA,Country / Rock
Country Boy,Alan Jackson,0,NA,Country / Rock
Country Song[6],Seether,0,NA,Country / Rock
Crazy,The Boys,1,NA,Hip Hop / RnB
Cruise,Florida Georgia Line,0,NA,Country / Rock
Cryin' Like a Bitch,Godsmack,0,NA,Country / Rock
Dansin wit Wolvez,Strik 9ine,1,NA,Hip Hop / RnB
Deal with the Devil,Pop Evil,0,NA,Country / Rock
Déjà Vu,Beyonce,1,NA,Hip Hop / RnB
Dial My Heart,The Boys,1,NA,Hip Hop / RnB
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,0,NA,Country / Rock
Do Me Again,Freddie Jackson,1,NA,Hip Hop / RnB
Does He Love You,Reba McEntire with Linda Davis,0,NA,Country / Rock
Don't Rock the Jukebox,Alan Jackson,0,NA,Country / Rock
Don't You Ever Get Tired (Of Hurting Me),Ronnie Milsap,0,NA,Country / Rock
Don't You Wanna Stay,Jason Aldean and Kelly Clarkson,0,NA,Country / Rock
Down the Road,Kenny Chesney with Mac McAnally,0,NA,Country / Rock
Drunk on You,Luke Bryan,0,NA,Country / Rock
"Easy Come, Easy Go",George Strait,0,NA,Country / Rock
Empire State of Mind,Jay-Z,1,NA,Hip Hop / RnB
Even Though I'm Leaving,Luke Combs,0,NA,Country / Rock
Every Time I Hear That Song,Blake Shelton,0,NA,Country / Rock
Everybody Wants to Go to Heaven,Kenny Chesney with The Wailers[A],0,NA,Country / Rock
Everything's Gonna Be Alright,David Lee Murphy and Kenny Chesney,0,NA,Country / Rock
Excuse Me Miss,Jay-Z,1,NA,Hip Hop / RnB
Expression,Salt-n-Pepa,1,NA,Hip Hop / RnB
Face to the Floor,Chevelle,0,NA,Country / Rock
Failure[14],Breaking Benjamin,0,NA,Country / Rock
Feel Invincible,Skillet,0,NA,Country / Rock
Feel That Fire,Dierks Bentley,0,NA,Country / Rock
Feels Good (Don't Worry Bout a Thing),Naughty by Nature,1,NA,Hip Hop / RnB
Figured You Out[44],Nickelback,0,NA,Country / Rock
Footsteps,Pop Evil,0,NA,Country / Rock
Get Up,Shinedown,0,NA,Country / Rock
Get Your Shine On,Florida Georgia Line,0,NA,Country / Rock
Gimmie That Girl,Joe Nichols,0,NA,Country / Rock
Girl Like You,Jason Aldean,0,NA,Country / Rock
Gonna Make You Sweat (Everybody Dance Now),C&C Music Factory,1,NA,Hip Hop / RnB
Good Time,Alan Jackson,0,NA,Country / Rock
Guilty All the Same,Linkin Park,0,NA,Country / Rock
Have You Had Your Love Today,The O'Jays,1,NA,Hip Hop / RnB
Headstrong[37],Trapt,0,NA,Country / Rock
Heartbreaker,Mariah carey,1,NA,Hip Hop / RnB
Heaven Knows[12],The Pretty Reckless,0,NA,Country / Rock
Helluva Life,Frankie Ballard,0,NA,Country / Rock
Hey Girl,Billy Currington,0,NA,Country / Rock
Highest in the Room,Travis Scott,1,NA,Hip Hop / RnB
Highway Don't Care,Tim McGraw with Taylor Swift,0,NA,Country / Rock
Hold Me,K. T. Oslin,0,NA,Country / Rock
Holy Grail,Jay-Z,1,NA,Hip Hop / RnB
Homey Don't Play Dat,Terminator X,1,NA,Hip Hop / RnB
Hot Boy,Bobby Shmurda,1,NA,Hip Hop / RnB
Hotel Key,Old Dominion,0,NA,Country / Rock
House Party,Sam Hunt,0,NA,Country / Rock
How Do U Want It / California Love,2Pac,1,NA,Hip Hop / RnB
How Not To,Dan + Shay,0,NA,Country / Rock
How Was I to Know,Reba McEntire,0,NA,Country / Rock
I'm Already There,Lonestar,0,NA,Country / Rock
I'm Gonna Miss Her (The Fishin' Song),Brad Paisley,0,NA,Country / Rock
I'm Just Talkin' About Tonight,Toby Keith,0,NA,Country / Rock
I Believe I Can Fly,R. Kelly,1,NA,Hip Hop / RnB
I Can't Wait Another Minute,Hi-Five,1,NA,Hip Hop / RnB
I Drive Your Truck,Lee Brice,0,NA,Country / Rock
I Get Lonely,Janet and Blackstreet,1,NA,Hip Hop / RnB
I Got Dreams,Steve Wariner,0,NA,Country / Rock
I Hold On,Dierks Bentley,0,NA,Country / Rock
I Hope You Dance,Lee Ann Womack with Sons of the Desert,0,NA,Country / Rock
I Just Wanna Luv U (Give It 2 Me),Jay-Z,1,NA,Hip Hop / RnB
I Like the Way (The Kissing Game),Hi-Five,1,NA,Hip Hop / RnB
I Love the Way You Love Me,John Michael Montgomery,0,NA,Country / Rock
I Need a Girl (Part One),P. Diddy,1,NA,Hip Hop / RnB
I Still Believe in You,The Desert Rose Band,0,NA,Country / Rock
I Want Her,Keith Sweat,1,NA,Hip Hop / RnB
Ice Ice Baby,Vanilla Ice,1,NA,Hip Hop / RnB
If I Die Young,The Band Perry,0,NA,Country / Rock
If You See Him/If You See Her,Reba McEntire/Brooks & Dunn,0,NA,Country / Rock
In Case You Didn't Know,Brett Young,0,NA,Country / Rock
Incomplete,Sisqó,1,NA,Hip Hop / RnB
Independent Women Part I,Destiny's Child,1,NA,Hip Hop / RnB
Infra-Red,Three Days Grace,0,NA,Country / Rock
Is It Still Over?,Randy Travis,0,NA,Country / Rock
It's Been Awhile[17],Staind,0,NA,Country / Rock
It's Five O'Clock Somewhere,Alan Jackson and Jimmy Buffett,0,NA,Country / Rock
It's Your Love,Tim McGraw (with Faith Hill),0,NA,Country / Rock
It Ain't Nothin',Keith Whitley,0,NA,Country / Rock
Just a Dream,Carrie Underwood,0,NA,Country / Rock
Just a Kiss,Lady Antebellum,0,NA,Country / Rock
Just Coolin',LeVert,1,NA,Hip Hop / RnB
Just Got Started Lovin' You,James Otto,0,NA,Country / Rock
Just to See You Smile,Tim McGraw,0,NA,Country / Rock
Kiss You in the Morning,Michael Ray,0,NA,Country / Rock
Knockin' Da Boots,H-Town,1,NA,Hip Hop / RnB
Kryptonite[6],3 Doors Down,0,NA,Country / Rock
"Lean wit It, Rock wit It",Dem Franchize Boyz,1,NA,Hip Hop / RnB
Leap of Faith,Lionel Cartwright,0,NA,Country / Rock
Legends,Kelsea Ballerini,0,NA,Country / Rock
Let Me Down Easy,Billy Currington,0,NA,Country / Rock
Let Me Hold You,Bow wow,1,NA,Hip Hop / RnB
Let Me Love You,Mario,1,NA,Hip Hop / RnB
Lies of the Beautiful People,Sixx:A.M.,0,NA,Country / Rock
Like You'll Never See Me Again[3],Alicia Keys,1,NA,Hip Hop / RnB
Little Walter,Tony toni tone,1,NA,Hip Hop / RnB
Lo/Hi,The Black Keys,0,NA,Country / Rock
Loosey's Rap,Rick James,1,NA,Hip Hop / RnB
Lost Without U,Robin Thicke,1,NA,Hip Hop / RnB
Love Makes Things Happen,Pebbles and Babyface,1,NA,Hip Hop / RnB
Love Me Like You Mean It,Kelsea Ballerini,0,NA,Country / Rock
Love of My Life (An Ode to Hip-Hop),Erykah Badu,1,NA,Hip Hop / RnB
Love on Top,Beyonce,1,NA,Hip Hop / RnB
Love the Way You Lie,Eminem,1,NA,Hip Hop / RnB
"Love Without End, Amen",George Strait,0,NA,Country / Rock
Lucky Charm,The Boys,1,NA,Hip Hop / RnB
Man in the Mirror,Michael Jackson,1,NA,Hip Hop / RnB
Man to Man,Gary Allan,0,NA,Country / Rock
"Me, Myself & I",G-Eazy,1,NA,Hip Hop / RnB
Miss Independent,Ne-Yo,1,NA,Hip Hop / RnB
Monie in the Middle,Monie Love,1,NA,Hip Hop / RnB
Move Somethin',Talib Kweli,1,NA,Hip Hop / RnB
Move Somethin',Talib Kweli and Hi-Tek (Reflection Eternal),1,NA,Hip Hop / RnB
My Front Porch Looking In,Lonestar,0,NA,Country / Rock
My Name Is Human,Highly Suspect,0,NA,Country / Rock
My Next Thirty Years,Tim McGraw,0,NA,Country / Rock
New Jack Swing,Wrecks-n-Effect,1,NA,Hip Hop / RnB
Nice for What,Drake,1,NA,Hip Hop / RnB
Niggas in Paris,Jay-Z,1,NA,Hip Hop / RnB
Niggas in Paris,Jay-Z and Kanye West,1,NA,Hip Hop / RnB
"No, No, No",Destiny's Child,1,NA,Hip Hop / RnB
Nothin' Like You,Dan + Shay,0,NA,Country / Rock
Nothing I Can Do About It Now,Willie Nelson,0,NA,Country / Rock
Oh Boy / The ROC (Just Fire),Cam'ron,1,NA,Hip Hop / RnB
Oh No,Mos Def,1,NA,Hip Hop / RnB
Oh No,Mos Def and Pharoahe Monch,1,NA,Hip Hop / RnB
One More Chance / Stay with Me,The Notorious B.I.G.,1,NA,Hip Hop / RnB
One More Try,George Michael,1,NA,Hip Hop / RnB
Online,Brad Paisley,0,NA,Country / Rock
Only,Nicki Minaj,1,NA,Hip Hop / RnB
Ours,Taylor Swift,0,NA,Country / Rock
Out of Time,Stone Temple Pilots with Chester Bennington,0,NA,Country / Rock
Outside,Aaron Lewis with Fred Durst,0,NA,Country / Rock
Panda,Desiigner,1,NA,Hip Hop / RnB
Power of Love/Love Power,Luther Vandross,1,NA,Hip Hop / RnB
Prayed for You,Matt Stell,0,NA,Country / Rock
Private Line,Gerald Levert,1,NA,Hip Hop / RnB
Promise,Jagged Edge,1,NA,Hip Hop / RnB
Psycho[79],Puddle of Mudd,0,NA,Country / Rock
Pullin' Me Back,Chingy,1,NA,Hip Hop / RnB
Raise 'Em Up,Keith Urban,0,NA,Country / Rock
Real Love,Mary J. Blige,1,NA,Hip Hop / RnB
Real Love,Skyy,1,NA,Hip Hop / RnB
Remember (The First Time),Eric Gable,1,NA,Hip Hop / RnB
Remember the Time,Michael Jackson,1,NA,Hip Hop / RnB
Remember When[22],Bad Wolves,0,NA,Country / Rock
Remind Me,"Brad Paisley, duet with Carrie Underwood",0,NA,Country / Rock
Right Here/Human Nature,SWV,1,NA,Hip Hop / RnB
Right Now,Al B. Sure!,1,NA,Hip Hop / RnB
Rock 'N Roll Train,AC/DC,0,NA,Country / Rock
Rockin' Years,Dolly Parton with Ricky Van Shelton,0,NA,Country / Rock
Roses Are Red,The Mac Band,1,NA,Hip Hop / RnB
Round and Round,Jonell,1,NA,Hip Hop / RnB
Round Here,Florida Georgia Line,0,NA,Country / Rock
Rub You the Right Way,Johnny Gill,1,NA,Hip Hop / RnB
Rumor,Lee Brice,0,NA,Country / Rock
Run This Town,Jay-Z,1,NA,Hip Hop / RnB
Runaway Love,Ludacris,1,NA,Hip Hop / RnB
Running Back to You,Vanessa Williams,1,NA,Hip Hop / RnB
Say My Name,Destiny's Child,1,NA,Hip Hop / RnB
Say Something,Timbaland,1,NA,Hip Hop / RnB
Second Chance (2009)[88],Shinedown,0,NA,Country / Rock
Self-Destruction,Stop the Violence Movement,1,NA,Hip Hop / RnB
Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee",1,NA,Hip Hop / RnB
She's Country,Jason Aldean,0,NA,Country / Rock
She's in Love with the Boy,Trisha Yearwood,0,NA,Country / Rock
She Don't Know She's Beautiful,Sammy Kershaw,0,NA,Country / Rock
She Let Herself Go,George Strait,0,NA,Country / Rock
Show and Tell,Peabo Bryson,1,NA,Hip Hop / RnB
Single White Female,Chely Wright,0,NA,Country / Rock
Slow Down,Bobby Valentino,1,NA,Hip Hop / RnB
Slow Motion,Juvenile,1,NA,Hip Hop / RnB
Smoke,A Thousand Horses,0,NA,Country / Rock
Snap Yo Fingers,Lil Jon,1,NA,Hip Hop / RnB
So Far Away,Avenged Sevenfold,0,NA,Country / Rock
So Far Away,Staind,0,NA,Country / Rock
Sober Saturday Night,Chris Young,0,NA,Country / Rock
Somethin' 'Bout a Truck,Kip Moore,0,NA,Country / Rock
Somethin' Bad,Miranda Lambert duet with Carrie Underwood,0,NA,Country / Rock
Song #3[18],Stone Sour,0,NA,Country / Rock
Soul Survivor,Young Jeezy,1,NA,Hip Hop / RnB
Speechless,Dan + Shay,0,NA,Country / Rock
Start a Band,Brad Paisley duet with Keith Urban,0,NA,Country / Rock
Start of a Romance,Skyy,1,NA,Hip Hop / RnB
Stiff Upper Lip,AC/DC,0,NA,Country / Rock
Stone,Alice in Chains,0,NA,Country / Rock
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,1,NA,Hip Hop / RnB
Superwoman,Karyn White,1,NA,Hip Hop / RnB
Take a Little Ride,Jason Aldean,0,NA,Country / Rock
Take Your Time,Sam Hunt,0,NA,Country / Rock
"Tall, Tall Trees",Alan Jackson,0,NA,Country / Rock
Ten Rounds with José Cuervo,Tracy Byrd,0,NA,Country / Rock
Tequila,Dan + Shay,0,NA,Country / Rock
That's the Way Love Goes,Janet Jackson,1,NA,Hip Hop / RnB
The Boys of Fall,Kenny Chesney,0,NA,Country / Rock
The Dance,Garth Brooks,0,NA,Country / Rock
The Devil's Bleeding Crown[16],Volbeat,0,NA,Country / Rock
The Heart Is a Lonely Hunter,Reba McEntire,0,NA,Country / Rock
The Heart Won't Lie,Reba McEntire & Vince Gill,0,NA,Country / Rock
The Light,Disturbed,0,NA,Country / Rock
The Only Way I Know,Jason Aldean with Luke Bryan and Eric Church,0,NA,Country / Rock
The Secret Garden (Sweet Seduction Suite),"Quincy Jones with Al B. Sure!, James Ingram, El DeBarge and Barry White",1,NA,Hip Hop / RnB
The Sex Is Good,Saving Abel,0,NA,Country / Rock
The Worst,Jhené Aiko,1,NA,Hip Hop / RnB
Throne,Bring Me the Horizon,0,NA,Country / Rock
Throw Sum Mo,Rae Sremmurd,1,NA,Hip Hop / RnB
Tipsy,J-Kwon,1,NA,Hip Hop / RnB
Tonight Looks Good on You,Jason Aldean,0,NA,Country / Rock
Torn in Two,Breaking Benjamin,0,NA,Country / Rock
Torn to Pieces,Pop Evil,0,NA,Country / Rock
Trenches[10],Pop Evil,0,NA,Country / Rock
Turn On the Radio,Reba[A],0,NA,Country / Rock
Turned Away,Chuckii Booker,1,NA,Hip Hop / RnB
Two Piña Coladas,Garth Brooks,0,NA,Country / Rock
Un-Thinkable (I'm Ready),Alicia Keys,1,NA,Hip Hop / RnB
Watch Me (Whip/Nae Nae),Silentó,1,NA,Hip Hop / RnB
We're All in the Same Gang,The West Coast Rap All-Stars,1,NA,Hip Hop / RnB
We Were Us,Keith Urban and Miranda Lambert,0,NA,Country / Rock
Weak,SWV,1,NA,Hip Hop / RnB
What's It Gonna Be?!,Busta Rhymes,1,NA,Hip Hop / RnB
What If I Said,Anita Cochran (duet with Steve Wariner),0,NA,Country / Rock
What She's Doing Now,Garth Brooks,0,NA,Country / Rock
Whatever She's Got,David Nail,0,NA,Country / Rock
When I Said I Do,Clint Black with Lisa Hartman Black,0,NA,Country / Rock
When I See U,Fantasia,1,NA,Hip Hop / RnB
When It Rains It Pours,Luke Combs,0,NA,Country / Rock
When the Seasons Change,Five Finger Death Punch,0,NA,Country / Rock
Where Do We Go from Here,Stacy Lattisaw with Johnny Gill,1,NA,Hip Hop / RnB
Where I Come From,Alan Jackson,0,NA,Country / Rock
Where It's At,Dustin Lynch,0,NA,Country / Rock
Where the Party At,Jagged Edge with Nelly,1,NA,Hip Hop / RnB
Whiskey Glasses,Morgan Wallen,0,NA,Country / Rock
Who Are You When I'm Not Looking,Blake Shelton,0,NA,Country / Rock
Who Says You Can't Go Home,Bon Jovi duet with Jennifer Nettles,0,NA,Country / Rock
Whoomp! (There It Is),Tag Team,1,NA,Hip Hop / RnB
Work It,Missy Misdemeanor Elliott,1,NA,Hip Hop / RnB
Written All Over Your Face,The Rude Boys,1,NA,Hip Hop / RnB
Yeah,Joe Nichols,0,NA,Country / Rock
You,Chris Young,0,NA,Country / Rock
You're Gonna Miss Me When I'm Gone,Brooks & Dunn,0,NA,Country / Rock
You're Makin' Me High / Let It Flow,Toni Braxton,1,NA,Hip Hop / RnB
You Can't Play with My Yo-Yo,Yo-Yo,1,NA,Hip Hop / RnB
Young Love (Strong Love),The Judds,0,NA,Country / Rock
